start Python
Time_data_preparation: 1.1676
Testing expression 3.5[3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
Epoch [72/100], lr:0.0035, Loss:0.0299, Time_for_epoch: 22.7326
Epoch [73/100], lr:0.0035, Loss:0.0304, Time_for_epoch: 22.7178
Epoch [74/100], lr:0.0035, Loss:0.0270, Time_for_epoch: 22.7206
Epoch [75/100], lr:0.0035, Loss:0.0290, Time_for_epoch: 22.7993
Epoch [76/100], lr:0.0035, Loss:0.0261, Time_for_epoch: 22.8131
Epoch [77/100], lr:0.0035, Loss:0.0281, Time_for_epoch: 22.7224
Epoch [78/100], lr:0.0035, Loss:0.0268, Time_for_epoch: 22.8323
Epoch [79/100], lr:0.0035, Loss:0.0255, Time_for_epoch: 22.7652
Epoch [80/100], lr:0.0035, Loss:0.0280, Time_for_epoch: 22.8220
Epoch [81/100], lr:0.0035, Loss:0.0253, Time_for_epoch: 22.8908
Epoch [82/100], lr:0.0035, Loss:0.0221, Time_for_epoch: 22.7741
Epoch [83/100], lr:0.0035, Loss:0.0233, Time_for_epoch: 22.9215
Epoch [84/100], lr:0.0035, Loss:0.0299, Time_for_epoch: 22.8046
Epoch [85/100], lr:0.0035, Loss:0.0280, Time_for_epoch: 22.9252
Epoch [86/100], lr:0.0035, Loss:0.0190, Time_for_epoch: 22.7831
Epoch [87/100], lr:0.0035, Loss:0.0248, Time_for_epoch: 22.8228
Epoch [88/100], lr:0.0035, Loss:0.0256, Time_for_epoch: 22.8717
Epoch [89/100], lr:0.0035, Loss:0.0221, Time_for_epoch: 22.8410
Epoch [90/100], lr:0.0035, Loss:0.0186, Time_for_epoch: 22.8370
Epoch [91/100], lr:0.0035, Loss:0.0254, Time_for_epoch: 22.8835
Epoch [92/100], lr:0.0035, Loss:0.0261, Time_for_epoch: 22.9615
Epoch [93/100], lr:0.0035, Loss:0.0208, Time_for_epoch: 23.0557
Epoch [94/100], lr:0.0035, Loss:0.0216, Time_for_epoch: 23.0881
Epoch [95/100], lr:0.0035, Loss:0.0220, Time_for_epoch: 22.9727
Epoch [96/100], lr:0.0035, Loss:0.0158, Time_for_epoch: 23.0709
Epoch [97/100], lr:0.0035, Loss:0.0234, Time_for_epoch: 22.9742
Epoch [98/100], lr:0.0035, Loss:0.0232, Time_for_epoch: 22.9180
Epoch [99/100], lr:0.0035, Loss:0.0213, Time_for_epoch: 22.9350
Epoch [100/100], lr:0.0035, Loss:0.0232, Time_for_epoch: 22.9858
