start Python
Time_data_preparation: 1.1929
Method 1: Epoch [30/100], lr:0.0060, Loss:0.0329, Time_for_epoch: 23.0611
Method 1: Epoch [31/100], lr:0.0010, Loss:0.0153, Time_for_epoch: 23.0323
Method 1: Epoch [32/100], lr:0.0035, Loss:0.0129, Time_for_epoch: 23.0501
Method 1: Epoch [33/100], lr:0.0060, Loss:0.0147, Time_for_epoch: 23.0196
Method 1: Epoch [34/100], lr:0.0084, Loss:0.0714, Time_for_epoch: 23.0116
Method 1: Epoch [35/100], lr:0.0109, Loss:0.0848, Time_for_epoch: 23.0630
Method 1: Epoch [36/100], lr:0.0134, Loss:0.0946, Time_for_epoch: 23.1272
Method 1: Epoch [37/100], lr:0.0109, Loss:0.0531, Time_for_epoch: 23.0317
Method 1: Epoch [38/100], lr:0.0084, Loss:0.0274, Time_for_epoch: 23.0479
Method 1: Epoch [39/100], lr:0.0060, Loss:0.0132, Time_for_epoch: 23.0322
Method 1: Epoch [40/100], lr:0.0035, Loss:0.0063, Time_for_epoch: 23.0241
Method 1: Epoch [41/100], lr:0.0010, Loss:0.0036, Time_for_epoch: 22.9851
Method 1: Epoch [42/100], lr:0.0022, Loss:0.0028, Time_for_epoch: 22.9858
Method 1: Epoch [43/100], lr:0.0035, Loss:0.0029, Time_for_epoch: 23.0005
Method 1: Epoch [44/100], lr:0.0047, Loss:0.0078, Time_for_epoch: 22.9982
Method 1: Epoch [45/100], lr:0.0060, Loss:0.0408, Time_for_epoch: 23.1615
Method 1: Epoch [46/100], lr:0.0072, Loss:0.0330, Time_for_epoch: 23.0065
Method 1: Epoch [47/100], lr:0.0060, Loss:0.0199, Time_for_epoch: 22.8458
Method 1: Epoch [48/100], lr:0.0047, Loss:0.0087, Time_for_epoch: 22.8482
Method 1: Epoch [49/100], lr:0.0035, Loss:0.0050, Time_for_epoch: 22.8312
Method 1: Epoch [50/100], lr:0.0022, Loss:0.0024, Time_for_epoch: 22.9988
Method 1: Epoch [51/100], lr:0.0010, Loss:0.0018, Time_for_epoch: 22.8322
Method 1: Epoch [52/100], lr:0.0016, Loss:0.0016, Time_for_epoch: 22.8403
Method 1: Epoch [53/100], lr:0.0022, Loss:0.0014, Time_for_epoch: 22.8435
Method 1: Epoch [54/100], lr:0.0029, Loss:0.0022, Time_for_epoch: 22.8070
Method 1: Epoch [55/100], lr:0.0035, Loss:0.0092, Time_for_epoch: 22.8303
Method 1: Epoch [56/100], lr:0.0041, Loss:0.0183, Time_for_epoch: 22.8870
Method 1: Epoch [57/100], lr:0.0035, Loss:0.0067, Time_for_epoch: 22.9092
Method 1: Epoch [58/100], lr:0.0029, Loss:0.0035, Time_for_epoch: 22.8940
Method 1: Epoch [59/100], lr:0.0022, Loss:0.0022, Time_for_epoch: 22.8899
Method 1: Epoch [60/100], lr:0.0016, Loss:0.0016, Time_for_epoch: 22.8106
Method 1: Epoch [61/100], lr:0.0010, Loss:0.0011, Time_for_epoch: 22.8700
Method 1: Epoch [62/100], lr:0.0013, Loss:0.0011, Time_for_epoch: 22.8401
Method 1: Epoch [63/100], lr:0.0016, Loss:0.0012, Time_for_epoch: 22.8219
Method 1: Epoch [64/100], lr:0.0019, Loss:0.0014, Time_for_epoch: 22.7944
Method 1: Epoch [65/100], lr:0.0022, Loss:0.0025, Time_for_epoch: 22.8246
Method 1: Epoch [66/100], lr:0.0025, Loss:0.0034, Time_for_epoch: 22.8491
Method 1: Epoch [67/100], lr:0.0022, Loss:0.0044, Time_for_epoch: 22.8398
Method 1: Epoch [68/100], lr:0.0019, Loss:0.0023, Time_for_epoch: 22.8318
Method 1: Epoch [69/100], lr:0.0016, Loss:0.0012, Time_for_epoch: 22.8318
Method 1: Epoch [70/100], lr:0.0013, Loss:0.0009, Time_for_epoch: 22.7990
Method 1: Epoch [71/100], lr:0.0010, Loss:0.0007, Time_for_epoch: 22.8259
Method 1: Epoch [72/100], lr:0.0012, Loss:0.0005, Time_for_epoch: 22.7995
Method 1: Epoch [73/100], lr:0.0013, Loss:0.0005, Time_for_epoch: 22.8118
Method 1: Epoch [74/100], lr:0.0015, Loss:0.0006, Time_for_epoch: 22.8151
Method 1: Epoch [75/100], lr:0.0016, Loss:0.0020, Time_for_epoch: 22.8121
Method 1: Epoch [76/100], lr:0.0018, Loss:0.0019, Time_for_epoch: 22.7886
Method 1: Epoch [77/100], lr:0.0016, Loss:0.0010, Time_for_epoch: 22.8230
Method 1: Epoch [78/100], lr:0.0015, Loss:0.0009, Time_for_epoch: 22.8433
Method 1: Epoch [79/100], lr:0.0013, Loss:0.0006, Time_for_epoch: 22.8212
Method 1: Epoch [80/100], lr:0.0012, Loss:0.0005, Time_for_epoch: 22.8251
Method 1: Epoch [81/100], lr:0.0010, Loss:0.0004, Time_for_epoch: 22.8191
Method 1: Epoch [82/100], lr:0.0011, Loss:0.0003, Time_for_epoch: 22.8154
Method 1: Epoch [83/100], lr:0.0012, Loss:0.0008, Time_for_epoch: 22.8116
Method 1: Epoch [84/100], lr:0.0012, Loss:0.0010, Time_for_epoch: 22.8013
Method 1: Epoch [85/100], lr:0.0013, Loss:0.0006, Time_for_epoch: 22.8224
Method 1: Epoch [86/100], lr:0.0014, Loss:0.0008, Time_for_epoch: 22.8201
Method 1: Epoch [87/100], lr:0.0013, Loss:0.0012, Time_for_epoch: 22.8433
Method 1: Epoch [88/100], lr:0.0012, Loss:0.0010, Time_for_epoch: 22.8369
Method 1: Epoch [89/100], lr:0.0012, Loss:0.0007, Time_for_epoch: 22.8195
Method 1: Epoch [90/100], lr:0.0011, Loss:0.0004, Time_for_epoch: 22.8313
Method 1: Epoch [91/100], lr:0.0010, Loss:0.0003, Time_for_epoch: 22.8553
Method 1: Epoch [92/100], lr:0.0010, Loss:0.0005, Time_for_epoch: 22.8128
Method 1: Epoch [93/100], lr:0.0011, Loss:0.0005, Time_for_epoch: 22.9287
Method 1: Epoch [94/100], lr:0.0011, Loss:0.0005, Time_for_epoch: 23.0367
Method 1: Epoch [95/100], lr:0.0012, Loss:0.0004, Time_for_epoch: 23.1946
Method 1: Epoch [96/100], lr:0.0012, Loss:0.0006, Time_for_epoch: 23.1026
Method 1: Epoch [97/100], lr:0.0012, Loss:0.0007, Time_for_epoch: 23.1084
Method 1: Epoch [98/100], lr:0.0011, Loss:0.0007, Time_for_epoch: 23.0890
Method 1: Epoch [99/100], lr:0.0011, Loss:0.0007, Time_for_epoch: 23.0901
Method 1: Epoch [100/100], lr:0.0010, Loss:0.0005, Time_for_epoch: 22.8009
Method 1: TestLoss: 1.2400, TestAccuracy: 0.8555, Time_for_individ: 2729.8621
start Python
Time_data_preparation: 1.0695
Testing scheduler 0: CyclicLR
Method 0: Epoch [1/100], lr:0.0010, Loss:1.4083, Time_for_epoch: 26.7063
Method 0: Epoch [2/100], lr:0.0028, Loss:1.0604, Time_for_epoch: 22.3117
Method 0: Epoch [3/100], lr:0.0046, Loss:0.8457, Time_for_epoch: 22.3163
Method 0: Epoch [4/100], lr:0.0064, Loss:0.7150, Time_for_epoch: 22.3119
Method 0: Epoch [5/100], lr:0.0082, Loss:0.6430, Time_for_epoch: 22.3145
Method 0: Epoch [6/100], lr:0.0100, Loss:0.5845, Time_for_epoch: 22.3176
Method 0: Epoch [7/100], lr:0.0082, Loss:0.4728, Time_for_epoch: 22.3082
Method 0: Epoch [8/100], lr:0.0064, Loss:0.3801, Time_for_epoch: 22.3089
Method 0: Epoch [9/100], lr:0.0046, Loss:0.2882, Time_for_epoch: 22.3086
Method 0: Epoch [10/100], lr:0.0028, Loss:0.1896, Time_for_epoch: 22.2994
Method 0: Epoch [11/100], lr:0.0010, Loss:0.0795, Time_for_epoch: 22.3014
Method 0: Epoch [12/100], lr:0.0028, Loss:0.1585, Time_for_epoch: 22.2862
Method 0: Epoch [13/100], lr:0.0046, Loss:0.2701, Time_for_epoch: 22.2994
Method 0: Epoch [14/100], lr:0.0064, Loss:0.3225, Time_for_epoch: 22.3062
Method 0: Epoch [15/100], lr:0.0082, Loss:0.3417, Time_for_epoch: 22.3036
Method 0: Epoch [16/100], lr:0.0100, Loss:0.3540, Time_for_epoch: 22.3428
Method 0: Epoch [17/100], lr:0.0082, Loss:0.2689, Time_for_epoch: 22.2964
Method 0: Epoch [18/100], lr:0.0064, Loss:0.1933, Time_for_epoch: 22.2975
Method 0: Epoch [19/100], lr:0.0046, Loss:0.1147, Time_for_epoch: 22.2945
Method 0: Epoch [20/100], lr:0.0028, Loss:0.0462, Time_for_epoch: 22.2957
Method 0: Epoch [21/100], lr:0.0010, Loss:0.0134, Time_for_epoch: 22.2922
Method 0: Epoch [22/100], lr:0.0028, Loss:0.0229, Time_for_epoch: 22.2906
Method 0: Epoch [23/100], lr:0.0046, Loss:0.1610, Time_for_epoch: 21.8855
Method 0: Epoch [24/100], lr:0.0064, Loss:0.1877, Time_for_epoch: 22.3167
Method 0: Epoch [25/100], lr:0.0082, Loss:0.2187, Time_for_epoch: 22.3212
Method 0: Epoch [26/100], lr:0.0100, Loss:0.2352, Time_for_epoch: 22.3274
Method 0: Epoch [27/100], lr:0.0082, Loss:0.1669, Time_for_epoch: 22.3343
Method 0: Epoch [28/100], lr:0.0064, Loss:0.1038, Time_for_epoch: 22.3207
Method 0: Epoch [29/100], lr:0.0046, Loss:0.0499, Time_for_epoch: 21.6330
Method 0: Epoch [30/100], lr:0.0028, Loss:0.0171, Time_for_epoch: 21.8291
Method 0: Epoch [31/100], lr:0.0010, Loss:0.0052, Time_for_epoch: 22.3113
Method 0: Epoch [32/100], lr:0.0028, Loss:0.0035, Time_for_epoch: 22.3208
Method 0: Epoch [33/100], lr:0.0046, Loss:0.1048, Time_for_epoch: 22.3219
Method 0: Epoch [34/100], lr:0.0064, Loss:0.1287, Time_for_epoch: 22.2949
Method 0: Epoch [35/100], lr:0.0082, Loss:0.1497, Time_for_epoch: 22.3067
Method 0: Epoch [36/100], lr:0.0100, Loss:0.1766, Time_for_epoch: 22.3094
Method 0: Epoch [37/100], lr:0.0082, Loss:0.1096, Time_for_epoch: 22.2992
Method 0: Epoch [38/100], lr:0.0064, Loss:0.0619, Time_for_epoch: 22.3371
Method 0: Epoch [39/100], lr:0.0046, Loss:0.0296, Time_for_epoch: 22.3132
Method 0: Epoch [40/100], lr:0.0028, Loss:0.0101, Time_for_epoch: 22.2856
Method 0: Epoch [41/100], lr:0.0010, Loss:0.0028, Time_for_epoch: 22.3052
Method 0: Epoch [42/100], lr:0.0028, Loss:0.0014, Time_for_epoch: 22.3049
Method 0: Epoch [43/100], lr:0.0046, Loss:0.0715, Time_for_epoch: 22.2981
Method 0: Epoch [44/100], lr:0.0064, Loss:0.1014, Time_for_epoch: 22.3052
Method 0: Epoch [45/100], lr:0.0082, Loss:0.1108, Time_for_epoch: 22.3014
Method 0: Epoch [46/100], lr:0.0100, Loss:0.1377, Time_for_epoch: 22.3038
Method 0: Epoch [47/100], lr:0.0082, Loss:0.0800, Time_for_epoch: 22.3038
Method 0: Epoch [48/100], lr:0.0064, Loss:0.0403, Time_for_epoch: 22.3033
Method 0: Epoch [49/100], lr:0.0046, Loss:0.0191, Time_for_epoch: 22.2820
Method 0: Epoch [50/100], lr:0.0028, Loss:0.0051, Time_for_epoch: 22.3138
Method 0: Epoch [51/100], lr:0.0010, Loss:0.0015, Time_for_epoch: 22.3128
Method 0: Epoch [52/100], lr:0.0028, Loss:0.0012, Time_for_epoch: 22.3005
Method 0: Epoch [53/100], lr:0.0046, Loss:0.0464, Time_for_epoch: 22.3171
Method 0: Epoch [54/100], lr:0.0064, Loss:0.0827, Time_for_epoch: 22.3045
Method 0: Epoch [55/100], lr:0.0082, Loss:0.0941, Time_for_epoch: 22.2843
Method 0: Epoch [56/100], lr:0.0100, Loss:0.1068, Time_for_epoch: 22.3075
