start Python
Time_data_preparation: 1.0761
General 0
log(cos(-0.432217))
(-cos(x00))
(exp(x01)*(0.703275-(-0.880432)))
sin(cos(-1.188350))
(-(x01)**((-1.497571)))
(-sin(0.027047))
((x00-x00)*(2.718282/x00))
sin(sin(0.190319))
log((x00*x01))
(-(1.078782/0.093223))
((-(-1.786595))/((-0.540721))**(x00))
(cos(x00)-exp(2.476718))
((-x01)-(x01*0.365828))
(sin(x01)-1/(1.204077))
((x01*x01)/(x01+(-0.348308)))
((x01/(-0.136366))-(-x00))
(((-0.993216)-(-0.624810))-(-x01))
(log(3.141593, 1.044160)-exp(0.222804))
exp(exp(1.157957))
(log(1.230255, x01)/sin(3.141593))
Gen 0 Tree 2: Epoch [72/100], lr:0.0016, Loss:0.0266, Time_for_epoch: 22.0486
Gen 0 Tree 2: Epoch [73/100], lr:0.0016, Loss:0.0221, Time_for_epoch: 22.0167
Gen 0 Tree 2: Epoch [74/100], lr:0.0016, Loss:0.0193, Time_for_epoch: 22.0700
Gen 0 Tree 2: Epoch [75/100], lr:0.0016, Loss:0.0320, Time_for_epoch: 22.0548
Gen 0 Tree 2: Epoch [76/100], lr:0.0016, Loss:0.0274, Time_for_epoch: 22.0570
Gen 0 Tree 2: Epoch [77/100], lr:0.0016, Loss:0.0205, Time_for_epoch: 22.0605
Gen 0 Tree 2: Epoch [78/100], lr:0.0016, Loss:0.0256, Time_for_epoch: 22.0750
Gen 0 Tree 2: Epoch [79/100], lr:0.0016, Loss:0.0205, Time_for_epoch: 22.0813
Gen 0 Tree 2: Epoch [80/100], lr:0.0016, Loss:0.0346, Time_for_epoch: 22.0658
Gen 0 Tree 2: Epoch [81/100], lr:0.0016, Loss:0.0209, Time_for_epoch: 21.9988
Gen 0 Tree 2: Epoch [82/100], lr:0.0016, Loss:0.0158, Time_for_epoch: 22.0610
Gen 0 Tree 2: Epoch [83/100], lr:0.0016, Loss:0.0251, Time_for_epoch: 22.0383
Gen 0 Tree 2: Epoch [84/100], lr:0.0016, Loss:0.0265, Time_for_epoch: 22.0689
Gen 0 Tree 2: Epoch [85/100], lr:0.0016, Loss:0.0176, Time_for_epoch: 22.0486
Gen 0 Tree 2: Epoch [86/100], lr:0.0016, Loss:0.0237, Time_for_epoch: 22.0279
Gen 0 Tree 2: Epoch [87/100], lr:0.0016, Loss:0.0218, Time_for_epoch: 22.0520
Gen 0 Tree 2: Epoch [88/100], lr:0.0016, Loss:0.0198, Time_for_epoch: 21.9824
Gen 0 Tree 2: Epoch [89/100], lr:0.0016, Loss:0.0183, Time_for_epoch: 22.0623
Gen 0 Tree 2: Epoch [90/100], lr:0.0016, Loss:0.0246, Time_for_epoch: 22.0694
Gen 0 Tree 2: Epoch [91/100], lr:0.0016, Loss:0.0217, Time_for_epoch: 21.9959
Gen 0 Tree 2: Epoch [92/100], lr:0.0016, Loss:0.0213, Time_for_epoch: 22.0274
Gen 0 Tree 2: Epoch [93/100], lr:0.0016, Loss:0.0175, Time_for_epoch: 22.0770
Gen 0 Tree 2: Epoch [94/100], lr:0.0016, Loss:0.0228, Time_for_epoch: 22.0238
Gen 0 Tree 2: Epoch [95/100], lr:0.0016, Loss:0.0212, Time_for_epoch: 22.0567
Gen 0 Tree 2: Epoch [96/100], lr:0.0016, Loss:0.0189, Time_for_epoch: 22.0232
Gen 0 Tree 2: Epoch [97/100], lr:0.0016, Loss:0.0192, Time_for_epoch: 22.0178
Gen 0 Tree 2: Epoch [98/100], lr:0.0016, Loss:0.0180, Time_for_epoch: 22.0414
Gen 0 Tree 2: Epoch [99/100], lr:0.0016, Loss:0.0164, Time_for_epoch: 22.0539
Gen 0 Tree 2: Epoch [100/100], lr:0.0016, Loss:0.0190, Time_for_epoch: 22.0412
Tree 2: TestLoss: 1.1408, TestAccuracy: 0.8315, Time_for_individ: 2193.6672
Gen 0 Tree 3: Epoch [1/100], lr:0.0004, Loss:1.5256, Time_for_epoch: 21.9765
Gen 0 Tree 3: Epoch [2/100], lr:0.0004, Loss:1.1024, Time_for_epoch: 21.9406
Gen 0 Tree 3: Epoch [3/100], lr:0.0004, Loss:0.8691, Time_for_epoch: 21.8997
Gen 0 Tree 3: Epoch [4/100], lr:0.0004, Loss:0.6957, Time_for_epoch: 21.8926
Gen 0 Tree 3: Epoch [5/100], lr:0.0004, Loss:0.5608, Time_for_epoch: 21.9420
Gen 0 Tree 3: Epoch [6/100], lr:0.0004, Loss:0.4490, Time_for_epoch: 21.9849
Gen 0 Tree 3: Epoch [7/100], lr:0.0004, Loss:0.3568, Time_for_epoch: 21.8705
Gen 0 Tree 3: Epoch [8/100], lr:0.0004, Loss:0.2812, Time_for_epoch: 22.0431
Gen 0 Tree 3: Epoch [9/100], lr:0.0004, Loss:0.2256, Time_for_epoch: 21.9242
Gen 0 Tree 3: Epoch [10/100], lr:0.0004, Loss:0.1878, Time_for_epoch: 21.8210
Gen 0 Tree 3: Epoch [11/100], lr:0.0004, Loss:0.1646, Time_for_epoch: 21.6553
Gen 0 Tree 3: Epoch [12/100], lr:0.0004, Loss:0.1442, Time_for_epoch: 21.8446
Gen 0 Tree 3: Epoch [13/100], lr:0.0004, Loss:0.1282, Time_for_epoch: 21.7277
Gen 0 Tree 3: Epoch [14/100], lr:0.0004, Loss:0.1235, Time_for_epoch: 21.8567
Gen 0 Tree 3: Epoch [15/100], lr:0.0004, Loss:0.1091, Time_for_epoch: 21.9823
Gen 0 Tree 3: Epoch [16/100], lr:0.0004, Loss:0.0975, Time_for_epoch: 21.9827
Gen 0 Tree 3: Epoch [17/100], lr:0.0004, Loss:0.1004, Time_for_epoch: 21.9353
Gen 0 Tree 3: Epoch [18/100], lr:0.0004, Loss:0.0937, Time_for_epoch: 22.0410
Gen 0 Tree 3: Epoch [19/100], lr:0.0004, Loss:0.0850, Time_for_epoch: 22.0882
Gen 0 Tree 3: Epoch [20/100], lr:0.0004, Loss:0.0784, Time_for_epoch: 21.7885
Gen 0 Tree 3: Epoch [21/100], lr:0.0004, Loss:0.0875, Time_for_epoch: 22.2927
Gen 0 Tree 3: Epoch [22/100], lr:0.0004, Loss:0.0737, Time_for_epoch: 22.3130
Gen 0 Tree 3: Epoch [23/100], lr:0.0004, Loss:0.0729, Time_for_epoch: 22.3372
Gen 0 Tree 3: Epoch [24/100], lr:0.0004, Loss:0.0717, Time_for_epoch: 21.8666
Gen 0 Tree 3: Epoch [25/100], lr:0.0004, Loss:0.0694, Time_for_epoch: 21.7681
Gen 0 Tree 3: Epoch [26/100], lr:0.0004, Loss:0.0684, Time_for_epoch: 22.2863
Gen 0 Tree 3: Epoch [27/100], lr:0.0004, Loss:0.0663, Time_for_epoch: 22.0898
Gen 0 Tree 3: Epoch [28/100], lr:0.0004, Loss:0.0649, Time_for_epoch: 22.0460
Gen 0 Tree 3: Epoch [29/100], lr:0.0004, Loss:0.0551, Time_for_epoch: 22.0069
Gen 0 Tree 3: Epoch [30/100], lr:0.0004, Loss:0.0599, Time_for_epoch: 21.9256
Gen 0 Tree 3: Epoch [31/100], lr:0.0004, Loss:0.0629, Time_for_epoch: 22.3012
Gen 0 Tree 3: Epoch [32/100], lr:0.0004, Loss:0.0589, Time_for_epoch: 22.2850
Gen 0 Tree 3: Epoch [33/100], lr:0.0004, Loss:0.0452, Time_for_epoch: 22.3077
Gen 0 Tree 3: Epoch [34/100], lr:0.0004, Loss:0.0576, Time_for_epoch: 22.2912
Gen 0 Tree 3: Epoch [35/100], lr:0.0004, Loss:0.0581, Time_for_epoch: 22.0341
Gen 0 Tree 3: Epoch [36/100], lr:0.0004, Loss:0.0508, Time_for_epoch: 22.2785
Gen 0 Tree 3: Epoch [37/100], lr:0.0004, Loss:0.0551, Time_for_epoch: 22.3012
Gen 0 Tree 3: Epoch [38/100], lr:0.0004, Loss:0.0406, Time_for_epoch: 21.9721
Gen 0 Tree 3: Epoch [39/100], lr:0.0004, Loss:0.0487, Time_for_epoch: 21.8635
Gen 0 Tree 3: Epoch [40/100], lr:0.0004, Loss:0.0449, Time_for_epoch: 21.9625
Gen 0 Tree 3: Epoch [41/100], lr:0.0004, Loss:0.0424, Time_for_epoch: 21.8734
Gen 0 Tree 3: Epoch [42/100], lr:0.0004, Loss:0.0471, Time_for_epoch: 21.8963
Gen 0 Tree 3: Epoch [43/100], lr:0.0004, Loss:0.0498, Time_for_epoch: 21.8254
Gen 0 Tree 3: Epoch [44/100], lr:0.0004, Loss:0.0401, Time_for_epoch: 21.9093
Gen 0 Tree 3: Epoch [45/100], lr:0.0004, Loss:0.0415, Time_for_epoch: 22.0236
Gen 0 Tree 3: Epoch [46/100], lr:0.0004, Loss:0.0445, Time_for_epoch: 21.9110
Gen 0 Tree 3: Epoch [47/100], lr:0.0004, Loss:0.0319, Time_for_epoch: 21.8854
Gen 0 Tree 3: Epoch [48/100], lr:0.0004, Loss:0.0387, Time_for_epoch: 21.8169
Gen 0 Tree 3: Epoch [49/100], lr:0.0004, Loss:0.0459, Time_for_epoch: 21.8643
Gen 0 Tree 3: Epoch [50/100], lr:0.0004, Loss:0.0427, Time_for_epoch: 21.9201
Gen 0 Tree 3: Epoch [51/100], lr:0.0004, Loss:0.0289, Time_for_epoch: 21.5378
Gen 0 Tree 3: Epoch [52/100], lr:0.0004, Loss:0.0381, Time_for_epoch: 21.9674
Gen 0 Tree 3: Epoch [53/100], lr:0.0004, Loss:0.0370, Time_for_epoch: 21.9164
Gen 0 Tree 3: Epoch [54/100], lr:0.0004, Loss:0.0388, Time_for_epoch: 22.0498
Gen 0 Tree 3: Epoch [55/100], lr:0.0004, Loss:0.0368, Time_for_epoch: 22.0020
Gen 0 Tree 3: Epoch [56/100], lr:0.0004, Loss:0.0304, Time_for_epoch: 21.9577
Gen 0 Tree 3: Epoch [57/100], lr:0.0004, Loss:0.0297, Time_for_epoch: 21.9534
Gen 0 Tree 3: Epoch [58/100], lr:0.0004, Loss:0.0339, Time_for_epoch: 22.0593
Gen 0 Tree 3: Epoch [59/100], lr:0.0004, Loss:0.0361, Time_for_epoch: 22.2664
Gen 0 Tree 3: Epoch [60/100], lr:0.0004, Loss:0.0315, Time_for_epoch: 22.1460
Gen 0 Tree 3: Epoch [61/100], lr:0.0004, Loss:0.0316, Time_for_epoch: 22.2916
Gen 0 Tree 3: Epoch [62/100], lr:0.0004, Loss:0.0326, Time_for_epoch: 22.2187
Gen 0 Tree 3: Epoch [63/100], lr:0.0004, Loss:0.0344, Time_for_epoch: 22.1869
Gen 0 Tree 3: Epoch [64/100], lr:0.0004, Loss:0.0298, Time_for_epoch: 22.1478
Gen 0 Tree 3: Epoch [65/100], lr:0.0004, Loss:0.0276, Time_for_epoch: 22.2970
Gen 0 Tree 3: Epoch [66/100], lr:0.0004, Loss:0.0281, Time_for_epoch: 22.1793
Gen 0 Tree 3: Epoch [67/100], lr:0.0004, Loss:0.0337, Time_for_epoch: 22.1172
Gen 0 Tree 3: Epoch [68/100], lr:0.0004, Loss:0.0279, Time_for_epoch: 22.1450
Gen 0 Tree 3: Epoch [69/100], lr:0.0004, Loss:0.0271, Time_for_epoch: 22.1663
Gen 0 Tree 3: Epoch [70/100], lr:0.0004, Loss:0.0246, Time_for_epoch: 22.1954
Gen 0 Tree 3: Epoch [71/100], lr:0.0004, Loss:0.0276, Time_for_epoch: 22.2255
Gen 0 Tree 3: Epoch [72/100], lr:0.0004, Loss:0.0327, Time_for_epoch: 22.1794
Gen 0 Tree 3: Epoch [73/100], lr:0.0004, Loss:0.0273, Time_for_epoch: 22.1351
Gen 0 Tree 3: Epoch [74/100], lr:0.0004, Loss:0.0257, Time_for_epoch: 22.1350
Gen 0 Tree 3: Epoch [75/100], lr:0.0004, Loss:0.0272, Time_for_epoch: 22.1311
