start Python
Time_data_preparation: 1.1184
General 0
exp(exp(0.435222))
((0.148270-0.646770)-(x00)**(0.188513))
(sin(-0.187363)/((-1.193145)/3.141593))
Gen 0 Tree 2: Epoch [41/100], lr:0.0005, Loss:0.0482, Time_for_epoch: 34.5894
Gen 0 Tree 2: Epoch [42/100], lr:0.0005, Loss:0.0431, Time_for_epoch: 34.5840
Gen 0 Tree 2: Epoch [43/100], lr:0.0005, Loss:0.0443, Time_for_epoch: 34.5841
Gen 0 Tree 2: Epoch [44/100], lr:0.0005, Loss:0.0440, Time_for_epoch: 34.5672
Gen 0 Tree 2: Epoch [45/100], lr:0.0005, Loss:0.0406, Time_for_epoch: 34.4827
Gen 0 Tree 2: Epoch [46/100], lr:0.0005, Loss:0.0427, Time_for_epoch: 34.4891
Gen 0 Tree 2: Epoch [47/100], lr:0.0005, Loss:0.0317, Time_for_epoch: 34.4770
Gen 0 Tree 2: Epoch [48/100], lr:0.0005, Loss:0.0382, Time_for_epoch: 34.5860
Gen 0 Tree 2: Epoch [49/100], lr:0.0005, Loss:0.0429, Time_for_epoch: 34.6021
Gen 0 Tree 2: Epoch [50/100], lr:0.0005, Loss:0.0374, Time_for_epoch: 34.5862
Gen 0 Tree 2: Epoch [51/100], lr:0.0005, Loss:0.0347, Time_for_epoch: 34.5783
Gen 0 Tree 2: Epoch [52/100], lr:0.0005, Loss:0.0357, Time_for_epoch: 34.5865
Gen 0 Tree 2: Epoch [53/100], lr:0.0005, Loss:0.0370, Time_for_epoch: 34.5912
Gen 0 Tree 2: Epoch [54/100], lr:0.0005, Loss:0.0407, Time_for_epoch: 34.5970
Gen 0 Tree 2: Epoch [55/100], lr:0.0005, Loss:0.0363, Time_for_epoch: 34.6090
Gen 0 Tree 2: Epoch [56/100], lr:0.0005, Loss:0.0352, Time_for_epoch: 34.6581
Gen 0 Tree 2: Epoch [57/100], lr:0.0005, Loss:0.0274, Time_for_epoch: 34.6395
Gen 0 Tree 2: Epoch [58/100], lr:0.0005, Loss:0.0256, Time_for_epoch: 34.6678
Gen 0 Tree 2: Epoch [59/100], lr:0.0005, Loss:0.0385, Time_for_epoch: 34.6535
Gen 0 Tree 2: Epoch [60/100], lr:0.0005, Loss:0.0376, Time_for_epoch: 34.6642
Gen 0 Tree 2: Epoch [61/100], lr:0.0005, Loss:0.0284, Time_for_epoch: 34.6094
Gen 0 Tree 2: Epoch [62/100], lr:0.0005, Loss:0.0282, Time_for_epoch: 34.6899
Gen 0 Tree 2: Epoch [63/100], lr:0.0005, Loss:0.0343, Time_for_epoch: 34.4906
Gen 0 Tree 2: Epoch [64/100], lr:0.0005, Loss:0.0296, Time_for_epoch: 34.4666
Gen 0 Tree 2: Epoch [65/100], lr:0.0005, Loss:0.0230, Time_for_epoch: 34.4755
Gen 0 Tree 2: Epoch [66/100], lr:0.0005, Loss:0.0343, Time_for_epoch: 34.4747
Gen 0 Tree 2: Epoch [67/100], lr:0.0005, Loss:0.0311, Time_for_epoch: 34.4993
Gen 0 Tree 2: Epoch [68/100], lr:0.0005, Loss:0.0309, Time_for_epoch: 34.4783
Gen 0 Tree 2: Epoch [69/100], lr:0.0005, Loss:0.0244, Time_for_epoch: 34.4749
Gen 0 Tree 2: Epoch [70/100], lr:0.0005, Loss:0.0251, Time_for_epoch: 34.4768
Gen 0 Tree 2: Epoch [71/100], lr:0.0005, Loss:0.0250, Time_for_epoch: 34.4547
Gen 0 Tree 2: Epoch [72/100], lr:0.0005, Loss:0.0405, Time_for_epoch: 34.4679
Gen 0 Tree 2: Epoch [73/100], lr:0.0005, Loss:0.0243, Time_for_epoch: 34.4872
Gen 0 Tree 2: Epoch [74/100], lr:0.0005, Loss:0.0214, Time_for_epoch: 34.4808
Gen 0 Tree 2: Epoch [75/100], lr:0.0005, Loss:0.0214, Time_for_epoch: 34.5176
Gen 0 Tree 2: Epoch [76/100], lr:0.0005, Loss:0.0270, Time_for_epoch: 34.5286
Gen 0 Tree 2: Epoch [77/100], lr:0.0005, Loss:0.0280, Time_for_epoch: 34.5401
Gen 0 Tree 2: Epoch [78/100], lr:0.0005, Loss:0.0221, Time_for_epoch: 34.6363
Gen 0 Tree 2: Epoch [79/100], lr:0.0005, Loss:0.0201, Time_for_epoch: 34.6369
Gen 0 Tree 2: Epoch [80/100], lr:0.0005, Loss:0.0248, Time_for_epoch: 34.6678
Gen 0 Tree 2: Epoch [81/100], lr:0.0005, Loss:0.0290, Time_for_epoch: 34.6453
Gen 0 Tree 2: Epoch [82/100], lr:0.0005, Loss:0.0286, Time_for_epoch: 34.6283
Gen 0 Tree 2: Epoch [83/100], lr:0.0005, Loss:0.0222, Time_for_epoch: 34.6290
Gen 0 Tree 2: Epoch [84/100], lr:0.0005, Loss:0.0161, Time_for_epoch: 34.6231
Gen 0 Tree 2: Epoch [85/100], lr:0.0005, Loss:0.0196, Time_for_epoch: 34.6221
Gen 0 Tree 2: Epoch [86/100], lr:0.0005, Loss:0.0319, Time_for_epoch: 34.6435
Gen 0 Tree 2: Epoch [87/100], lr:0.0005, Loss:0.0268, Time_for_epoch: 34.6098
Gen 0 Tree 2: Epoch [88/100], lr:0.0005, Loss:0.0209, Time_for_epoch: 34.6135
Gen 0 Tree 2: Epoch [89/100], lr:0.0005, Loss:0.0160, Time_for_epoch: 34.6201
Gen 0 Tree 2: Epoch [90/100], lr:0.0005, Loss:0.0175, Time_for_epoch: 34.6287
Gen 0 Tree 2: Epoch [91/100], lr:0.0005, Loss:0.0220, Time_for_epoch: 34.6087
Gen 0 Tree 2: Epoch [92/100], lr:0.0005, Loss:0.0212, Time_for_epoch: 34.6035
Gen 0 Tree 2: Epoch [93/100], lr:0.0005, Loss:0.0236, Time_for_epoch: 34.5938
Gen 0 Tree 2: Epoch [94/100], lr:0.0005, Loss:0.0216, Time_for_epoch: 34.5850
Gen 0 Tree 2: Epoch [95/100], lr:0.0005, Loss:0.0209, Time_for_epoch: 34.5839
