start Python
Time_data_preparation: 1.1905
Testing scheduler 0: StepLRMethod 0: Epoch [1/100], lr:0.0100, Loss:1.6946, Time_for_epoch: 26.6739
Method 1: Epoch [45/100], lr:0.0001, Loss:0.0014, Time_for_epoch: 37.9805
Method 1: Epoch [46/100], lr:0.0001, Loss:0.0012, Time_for_epoch: 44.2334
Method 1: Epoch [47/100], lr:0.0001, Loss:0.0011, Time_for_epoch: 48.1125
Method 1: Epoch [48/100], lr:0.0001, Loss:0.0013, Time_for_epoch: 47.6832
Method 1: Epoch [49/100], lr:0.0001, Loss:0.0011, Time_for_epoch: 41.7039
Method 1: Epoch [50/100], lr:0.0001, Loss:0.0008, Time_for_epoch: 37.3049
Method 1: Epoch [51/100], lr:0.0000, Loss:0.0011, Time_for_epoch: 36.9725
Method 1: Epoch [52/100], lr:0.0000, Loss:0.0009, Time_for_epoch: 37.0269
Method 1: Epoch [53/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 36.9761
Method 1: Epoch [54/100], lr:0.0000, Loss:0.0008, Time_for_epoch: 37.0795
Method 1: Epoch [55/100], lr:0.0000, Loss:0.0008, Time_for_epoch: 37.0566
Method 1: Epoch [56/100], lr:0.0000, Loss:0.0010, Time_for_epoch: 36.9137
Method 1: Epoch [57/100], lr:0.0000, Loss:0.0008, Time_for_epoch: 36.9656
Method 1: Epoch [58/100], lr:0.0000, Loss:0.0007, Time_for_epoch: 36.9547
Method 1: Epoch [59/100], lr:0.0000, Loss:0.0007, Time_for_epoch: 36.9838
Method 1: Epoch [60/100], lr:0.0000, Loss:0.0007, Time_for_epoch: 38.3876
Method 1: Epoch [61/100], lr:0.0000, Loss:0.0007, Time_for_epoch: 37.0050
Method 1: Epoch [62/100], lr:0.0000, Loss:0.0008, Time_for_epoch: 36.9565
Method 1: Epoch [63/100], lr:0.0000, Loss:0.0007, Time_for_epoch: 36.9928
Method 1: Epoch [64/100], lr:0.0000, Loss:0.0007, Time_for_epoch: 36.9284
Method 1: Epoch [65/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 38.1151
Method 1: Epoch [66/100], lr:0.0000, Loss:0.0007, Time_for_epoch: 37.0189
Method 1: Epoch [67/100], lr:0.0000, Loss:0.0008, Time_for_epoch: 36.9507
Method 1: Epoch [68/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 36.9968
Method 1: Epoch [69/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 36.9800
Method 1: Epoch [70/100], lr:0.0000, Loss:0.0008, Time_for_epoch: 37.7742
Method 1: Epoch [71/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 36.8579
Method 1: Epoch [72/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 36.8249
Method 1: Epoch [73/100], lr:0.0000, Loss:0.0007, Time_for_epoch: 37.0900
Method 1: Epoch [74/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 36.9318
Method 1: Epoch [75/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 36.9997
Method 1: Epoch [76/100], lr:0.0000, Loss:0.0008, Time_for_epoch: 36.9610
Method 1: Epoch [77/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 36.9576
Method 1: Epoch [78/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 36.9056
Method 1: Epoch [79/100], lr:0.0000, Loss:0.0005, Time_for_epoch: 36.9798
Method 1: Epoch [80/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 36.9761
Method 1: Epoch [81/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 36.9519
Method 1: Epoch [82/100], lr:0.0000, Loss:0.0005, Time_for_epoch: 37.0343
Method 1: Epoch [83/100], lr:0.0000, Loss:0.0007, Time_for_epoch: 36.8892
Method 1: Epoch [84/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 36.9538
Method 1: Epoch [85/100], lr:0.0000, Loss:0.0005, Time_for_epoch: 36.9635
Method 1: Epoch [86/100], lr:0.0000, Loss:0.0005, Time_for_epoch: 36.9807
Method 1: Epoch [87/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 36.9966
Method 1: Epoch [88/100], lr:0.0000, Loss:0.0005, Time_for_epoch: 36.9879
Method 1: Epoch [89/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 36.9380
Method 1: Epoch [90/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 36.9411
Method 1: Epoch [91/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 36.7979
Method 1: Epoch [92/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 36.9701
Method 1: Epoch [93/100], lr:0.0000, Loss:0.0007, Time_for_epoch: 37.0355
Method 1: Epoch [94/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 37.0155
Method 1: Epoch [95/100], lr:0.0000, Loss:0.0005, Time_for_epoch: 37.4981
Method 1: Epoch [96/100], lr:0.0000, Loss:0.0006, Time_for_epoch: 37.8961
