start Python
Time_data_preparation: 1.1926
General 0
(-(0.637926/(-1.428999)))
((1.271180*0.252407)+(x01/x00))
cos(x01/x01)
(-1/(0.372426))
sin(x00*(-1.426609))
(log(x01, 1.208820)-(0.620407)**(x00))
1/(0.840938*x01)
(log(0.520062)*cos(0.806777))
1/((-0.022412)+x01)
exp(x01*(-0.377991))
((0.135302-x01))**(((-0.472126)*x00))
(-(-x00))
1/(exp(-0.176681))
Gen 0 Tree 4: Epoch [6/100], lr:-0.0008, Loss:5035.5029, Time_for_epoch: 23.1428
Gen 0 Tree 4: Epoch [7/100], lr:0.0005, Loss:1486.9360, Time_for_epoch: 23.1715
Gen 0 Tree 4: Epoch [8/100], lr:0.0009, Loss:262.2808, Time_for_epoch: 23.1569
Gen 0 Tree 4: Epoch [9/100], lr:-0.0003, Loss:5264.5227, Time_for_epoch: 23.1729
Gen 0 Tree 4: Epoch [10/100], lr:-0.0010, Loss:8552.6405, Time_for_epoch: 23.1292
Gen 0 Tree 4: Epoch [11/100], lr:-0.0000, Loss:11565.0427, Time_for_epoch: 23.1955
Tree 4 is not valid
Tree 5 is not valid
Tree 6 is not valid
Gen 0 Tree 7: Epoch [1/100], lr:-0.0005, Loss:145.0141, Time_for_epoch: 23.0592
Gen 0 Tree 7: Epoch [2/100], lr:-0.0005, Loss:608.2635, Time_for_epoch: 23.0796
Gen 0 Tree 7: Epoch [3/100], lr:-0.0005, Loss:1464.8157, Time_for_epoch: 23.1108
Gen 0 Tree 7: Epoch [4/100], lr:-0.0005, Loss:2677.9976, Time_for_epoch: 23.1267
Gen 0 Tree 7: Epoch [5/100], lr:-0.0005, Loss:4137.8893, Time_for_epoch: 23.1469
Gen 0 Tree 7: Epoch [6/100], lr:-0.0005, Loss:5821.0970, Time_for_epoch: 23.0777
Gen 0 Tree 7: Epoch [7/100], lr:-0.0005, Loss:7729.7192, Time_for_epoch: 23.0725
Gen 0 Tree 7: Epoch [8/100], lr:-0.0005, Loss:9921.2143, Time_for_epoch: 23.0288
Gen 0 Tree 7: Epoch [9/100], lr:-0.0005, Loss:12334.8306, Time_for_epoch: 23.0708
Tree 7 is not valid
Gen 0 Tree 8: Epoch [1/100], lr:-0.0446, Loss:nan, Time_for_epoch: 21.0144
Gen 0 Tree 8: Epoch [2/100], lr:-0.0446, Loss:nan, Time_for_epoch: 20.2916
Tree 8 is not valid
Gen 0 Tree 9: Epoch [1/100], lr:0.0010, Loss:1.4159, Time_for_epoch: 23.0695
Gen 0 Tree 9: Epoch [2/100], lr:0.0010, Loss:0.9429, Time_for_epoch: 23.0539
Gen 0 Tree 9: Epoch [3/100], lr:0.0010, Loss:0.7352, Time_for_epoch: 23.0560
Gen 0 Tree 9: Epoch [4/100], lr:0.0010, Loss:0.5974, Time_for_epoch: 23.0519
Gen 0 Tree 9: Epoch [5/100], lr:0.0010, Loss:0.5015, Time_for_epoch: 23.0576
Gen 0 Tree 9: Epoch [6/100], lr:0.0010, Loss:0.4208, Time_for_epoch: 23.0822
Gen 0 Tree 9: Epoch [7/100], lr:0.0010, Loss:0.3544, Time_for_epoch: 23.0965
Gen 0 Tree 9: Epoch [8/100], lr:0.0010, Loss:0.3028, Time_for_epoch: 23.0345
Gen 0 Tree 9: Epoch [9/100], lr:0.0010, Loss:0.2623, Time_for_epoch: 23.0649
Gen 0 Tree 9: Epoch [10/100], lr:0.0010, Loss:0.2233, Time_for_epoch: 23.0743
Gen 0 Tree 9: Epoch [11/100], lr:0.0010, Loss:0.2091, Time_for_epoch: 23.0500
Gen 0 Tree 9: Epoch [12/100], lr:0.0010, Loss:0.1720, Time_for_epoch: 23.0589
Gen 0 Tree 9: Epoch [13/100], lr:0.0010, Loss:0.1678, Time_for_epoch: 23.0721
Gen 0 Tree 9: Epoch [14/100], lr:0.0010, Loss:0.1388, Time_for_epoch: 23.0586
Gen 0 Tree 9: Epoch [15/100], lr:0.0010, Loss:0.1327, Time_for_epoch: 23.0433
Gen 0 Tree 9: Epoch [16/100], lr:0.0010, Loss:0.1127, Time_for_epoch: 23.0733
Gen 0 Tree 9: Epoch [17/100], lr:0.0010, Loss:0.1020, Time_for_epoch: 23.0485
Gen 0 Tree 9: Epoch [18/100], lr:0.0010, Loss:0.1135, Time_for_epoch: 23.0829
Gen 0 Tree 9: Epoch [19/100], lr:0.0010, Loss:0.0932, Time_for_epoch: 23.0782
