start Python
Time_data_preparation: 1.2040
General 0
(sin(3.141593)*cos(0.433665))
sin(exp(0.143431))
((x00/x01)/((-0.131818)/(-0.406578)))
(sin(x01)*1/(-0.128106))
cos(cos(0.249268))
log((x00/2.075837), (0.685211)**(x01))
1/(x01+0.557923)
1/(1/(-0.576128))
((-(-0.443794))-log(x00))
exp(x01-1.816487)
(-exp(x00))
sin((-0.285104)-1.012083)
Gen 0 Tree 1: Epoch [56/100], lr:0.0009, Loss:0.0435, Time_for_epoch: 22.8343
Gen 0 Tree 1: Epoch [57/100], lr:0.0009, Loss:0.0273, Time_for_epoch: 22.8184
Gen 0 Tree 1: Epoch [58/100], lr:0.0009, Loss:0.0238, Time_for_epoch: 22.8250
Gen 0 Tree 1: Epoch [59/100], lr:0.0009, Loss:0.0323, Time_for_epoch: 22.8323
Gen 0 Tree 1: Epoch [60/100], lr:0.0009, Loss:0.0348, Time_for_epoch: 22.8453
Gen 0 Tree 1: Epoch [61/100], lr:0.0009, Loss:0.0264, Time_for_epoch: 22.8148
Gen 0 Tree 1: Epoch [62/100], lr:0.0009, Loss:0.0292, Time_for_epoch: 22.8482
Gen 0 Tree 1: Epoch [63/100], lr:0.0009, Loss:0.0305, Time_for_epoch: 22.8083
Gen 0 Tree 1: Epoch [64/100], lr:0.0009, Loss:0.0317, Time_for_epoch: 22.8341
Gen 0 Tree 1: Epoch [65/100], lr:0.0009, Loss:0.0243, Time_for_epoch: 22.8332
Gen 0 Tree 1: Epoch [66/100], lr:0.0009, Loss:0.0197, Time_for_epoch: 22.8485
Gen 0 Tree 1: Epoch [67/100], lr:0.0009, Loss:0.0265, Time_for_epoch: 22.8209
Gen 0 Tree 1: Epoch [68/100], lr:0.0009, Loss:0.0339, Time_for_epoch: 22.8400
Gen 0 Tree 1: Epoch [69/100], lr:0.0009, Loss:0.0258, Time_for_epoch: 22.8269
Gen 0 Tree 1: Epoch [70/100], lr:0.0009, Loss:0.0201, Time_for_epoch: 22.8299
Gen 0 Tree 1: Epoch [71/100], lr:0.0009, Loss:0.0247, Time_for_epoch: 22.8313
Gen 0 Tree 1: Epoch [72/100], lr:0.0009, Loss:0.0308, Time_for_epoch: 22.8376
Gen 0 Tree 1: Epoch [73/100], lr:0.0009, Loss:0.0254, Time_for_epoch: 22.8021
Gen 0 Tree 1: Epoch [74/100], lr:0.0009, Loss:0.0171, Time_for_epoch: 22.8300
Gen 0 Tree 1: Epoch [75/100], lr:0.0009, Loss:0.0281, Time_for_epoch: 22.8595
Gen 0 Tree 1: Epoch [76/100], lr:0.0009, Loss:0.0248, Time_for_epoch: 22.8446
Gen 0 Tree 1: Epoch [77/100], lr:0.0009, Loss:0.0186, Time_for_epoch: 22.8132
Gen 0 Tree 1: Epoch [78/100], lr:0.0009, Loss:0.0199, Time_for_epoch: 22.8336
Gen 0 Tree 1: Epoch [79/100], lr:0.0009, Loss:0.0260, Time_for_epoch: 22.8316
Gen 0 Tree 1: Epoch [80/100], lr:0.0009, Loss:0.0288, Time_for_epoch: 22.8085
Gen 0 Tree 1: Epoch [81/100], lr:0.0009, Loss:0.0210, Time_for_epoch: 22.8421
Gen 0 Tree 1: Epoch [82/100], lr:0.0009, Loss:0.0158, Time_for_epoch: 22.8282
Gen 0 Tree 1: Epoch [83/100], lr:0.0009, Loss:0.0216, Time_for_epoch: 22.8290
Gen 0 Tree 1: Epoch [84/100], lr:0.0009, Loss:0.0237, Time_for_epoch: 22.7989
Gen 0 Tree 1: Epoch [85/100], lr:0.0009, Loss:0.0211, Time_for_epoch: 22.8530
Gen 0 Tree 1: Epoch [86/100], lr:0.0009, Loss:0.0200, Time_for_epoch: 22.8210
Gen 0 Tree 1: Epoch [87/100], lr:0.0009, Loss:0.0169, Time_for_epoch: 22.8431
Gen 0 Tree 1: Epoch [88/100], lr:0.0009, Loss:0.0212, Time_for_epoch: 22.8126
Gen 0 Tree 1: Epoch [89/100], lr:0.0009, Loss:0.0198, Time_for_epoch: 22.8094
Gen 0 Tree 1: Epoch [90/100], lr:0.0009, Loss:0.0190, Time_for_epoch: 22.8330
Gen 0 Tree 1: Epoch [91/100], lr:0.0009, Loss:0.0201, Time_for_epoch: 22.8319
Gen 0 Tree 1: Epoch [92/100], lr:0.0009, Loss:0.0145, Time_for_epoch: 22.8241
Gen 0 Tree 1: Epoch [93/100], lr:0.0009, Loss:0.0211, Time_for_epoch: 22.8319
Gen 0 Tree 1: Epoch [94/100], lr:0.0009, Loss:0.0253, Time_for_epoch: 22.8178
Gen 0 Tree 1: Epoch [95/100], lr:0.0009, Loss:0.0190, Time_for_epoch: 22.8470
Gen 0 Tree 1: Epoch [96/100], lr:0.0009, Loss:0.0169, Time_for_epoch: 22.8182
