start Python
Time_data_preparation: 1.1188
General 0
log((0.803732)**(1.343144))
exp(x00)**(0.268522)
Gen 1 Tree 1: Epoch [26/100], lr:0.0052, Loss:0.1017, Time_for_epoch: 34.8098
Gen 1 Tree 1: Epoch [27/100], lr:0.0052, Loss:0.0938, Time_for_epoch: 34.8060
Gen 1 Tree 1: Epoch [28/100], lr:0.0052, Loss:0.0858, Time_for_epoch: 34.8089
Gen 1 Tree 1: Epoch [29/100], lr:0.0052, Loss:0.0873, Time_for_epoch: 34.8220
Gen 1 Tree 1: Epoch [30/100], lr:0.0052, Loss:0.0783, Time_for_epoch: 34.8136
Gen 1 Tree 1: Epoch [31/100], lr:0.0052, Loss:0.0762, Time_for_epoch: 34.7885
Gen 1 Tree 1: Epoch [32/100], lr:0.0052, Loss:0.0760, Time_for_epoch: 34.7938
Gen 1 Tree 1: Epoch [33/100], lr:0.0052, Loss:0.0733, Time_for_epoch: 34.7844
Gen 1 Tree 1: Epoch [34/100], lr:0.0052, Loss:0.0669, Time_for_epoch: 34.7892
Gen 1 Tree 1: Epoch [35/100], lr:0.0052, Loss:0.0671, Time_for_epoch: 34.7607
Gen 1 Tree 1: Epoch [36/100], lr:0.0052, Loss:0.0617, Time_for_epoch: 34.7743
Gen 1 Tree 1: Epoch [37/100], lr:0.0052, Loss:0.0665, Time_for_epoch: 34.7741
Gen 1 Tree 1: Epoch [38/100], lr:0.0052, Loss:0.0613, Time_for_epoch: 34.7748
Gen 1 Tree 1: Epoch [39/100], lr:0.0052, Loss:0.0578, Time_for_epoch: 34.7679
Gen 1 Tree 1: Epoch [40/100], lr:0.0052, Loss:0.0540, Time_for_epoch: 34.7732
Gen 1 Tree 1: Epoch [41/100], lr:0.0052, Loss:0.0554, Time_for_epoch: 34.7550
Gen 1 Tree 1: Epoch [42/100], lr:0.0052, Loss:0.0576, Time_for_epoch: 34.7627
Gen 1 Tree 1: Epoch [43/100], lr:0.0052, Loss:0.0496, Time_for_epoch: 34.7716
Gen 1 Tree 1: Epoch [44/100], lr:0.0052, Loss:0.0522, Time_for_epoch: 34.8318
