start Python
Time_data_preparation: 1.0758
General 13
exp(cos(x00)-x00)
exp((0.029641*x01)-x00)
(0.615856*((x01-(-0.272221))/x00))
(0.754543*(x01)**(x00))
exp(cos(x00)-0.478629)
exp(1/(0.003709))
(log(x00)*((x01-(-0.272221))/x00))
exp(x01-log(x01, 0.402069))
exp(sin(0.823212))
exp(1/(0.130263))
exp((x01-x01))**(exp(x01))
exp(x01-x01)
exp(1/(0.823637)-x00)
((0.703275-x01)*(((x00)**((x00-x01))+(-0.891086))/x00))
exp((-0.448128)-x00)
exp(x01*0.907900)
exp((x01*x00)-(-0.436459))
((-exp(x00))/(x00*x01))
(exp(-0.242982)*(x01/1.078845))
exp(-0.274573)
exp(0.152792)
exp(x00)**((-0.018708))
exp(x00)
((x01-((-0.317296)-2.718282))/(x01+x00))
((x01-x00)*(x01)**(x00))
((x00)**((-0.798123))*(1.073440+x00))
exp(1/(x00))
exp(1/(x00)-x00)
Gen 13 Tree 1: Epoch [6/100], lr:0.0000, Loss:0.5679, Time_for_epoch: 16.4387
Gen 13 Tree 1: Epoch [7/100], lr:0.0000, Loss:0.5549, Time_for_epoch: 16.4381
Gen 13 Tree 1: Epoch [8/100], lr:0.0000, Loss:0.5506, Time_for_epoch: 16.4403
Gen 13 Tree 1: Epoch [9/100], lr:0.0000, Loss:0.5499, Time_for_epoch: 16.4515
Gen 13 Tree 1: Epoch [10/100], lr:0.0000, Loss:0.5506, Time_for_epoch: 16.4517
Gen 13 Tree 1: Epoch [11/100], lr:0.0000, Loss:0.5526, Time_for_epoch: 16.4328
Gen 13 Tree 1: Epoch [12/100], lr:0.0000, Loss:0.5497, Time_for_epoch: 16.4233
Gen 13 Tree 1: Epoch [13/100], lr:0.0000, Loss:0.5501, Time_for_epoch: 16.4264
Gen 13 Tree 1: Epoch [14/100], lr:0.0000, Loss:0.5514, Time_for_epoch: 16.4337
Gen 13 Tree 1: Epoch [15/100], lr:0.0000, Loss:0.5505, Time_for_epoch: 16.4306
Gen 13 Tree 1: Epoch [16/100], lr:0.0000, Loss:0.5533, Time_for_epoch: 16.4262
Gen 13 Tree 1: Epoch [17/100], lr:0.0000, Loss:0.5529, Time_for_epoch: 16.4268
Gen 13 Tree 1: Epoch [18/100], lr:0.0000, Loss:0.5508, Time_for_epoch: 16.4318
Gen 13 Tree 1: Epoch [19/100], lr:0.0000, Loss:0.5484, Time_for_epoch: 16.4385
Gen 13 Tree 1: Epoch [20/100], lr:0.0000, Loss:0.5501, Time_for_epoch: 16.4374
Gen 13 Tree 1: Epoch [21/100], lr:0.0000, Loss:0.5490, Time_for_epoch: 16.4491
Gen 13 Tree 1: Epoch [22/100], lr:0.0000, Loss:0.5498, Time_for_epoch: 16.4441
Gen 13 Tree 1: Epoch [23/100], lr:0.0000, Loss:0.5508, Time_for_epoch: 16.4449
Gen 13 Tree 1: Epoch [24/100], lr:0.0000, Loss:0.5487, Time_for_epoch: 16.4479
Gen 13 Tree 1: Epoch [25/100], lr:0.0000, Loss:0.5511, Time_for_epoch: 16.6389
Gen 13 Tree 1: Epoch [26/100], lr:0.0000, Loss:0.5539, Time_for_epoch: 16.8462
Gen 13 Tree 1: Epoch [27/100], lr:0.0000, Loss:0.5502, Time_for_epoch: 16.8509
Gen 13 Tree 1: Epoch [28/100], lr:0.0000, Loss:0.5528, Time_for_epoch: 16.8401
Gen 13 Tree 1: Epoch [29/100], lr:0.0000, Loss:0.5529, Time_for_epoch: 16.8486
Gen 13 Tree 1: Epoch [30/100], lr:0.0000, Loss:0.5491, Time_for_epoch: 16.8449
Gen 13 Tree 1: Epoch [31/100], lr:0.0000, Loss:0.5520, Time_for_epoch: 16.8336
Gen 13 Tree 1: Epoch [32/100], lr:0.0000, Loss:0.5511, Time_for_epoch: 16.8382
Gen 13 Tree 1: Epoch [33/100], lr:0.0000, Loss:0.5509, Time_for_epoch: 16.8371
Gen 13 Tree 1: Epoch [34/100], lr:0.0000, Loss:0.5472, Time_for_epoch: 16.8327
Gen 13 Tree 1: Epoch [35/100], lr:0.0000, Loss:0.5517, Time_for_epoch: 16.8391
Gen 13 Tree 1: Epoch [36/100], lr:0.0000, Loss:0.5511, Time_for_epoch: 16.8357
Gen 13 Tree 1: Epoch [37/100], lr:0.0000, Loss:0.5491, Time_for_epoch: 16.8407
Gen 13 Tree 1: Epoch [38/100], lr:0.0000, Loss:0.5508, Time_for_epoch: 16.8418
Gen 13 Tree 1: Epoch [39/100], lr:0.0000, Loss:0.5512, Time_for_epoch: 16.8592
Gen 13 Tree 1: Epoch [40/100], lr:0.0000, Loss:0.5494, Time_for_epoch: 16.8709
Gen 13 Tree 1: Epoch [41/100], lr:0.0000, Loss:0.5490, Time_for_epoch: 16.8755
Gen 13 Tree 1: Epoch [42/100], lr:0.0000, Loss:0.5508, Time_for_epoch: 16.8801
Gen 13 Tree 1: Epoch [43/100], lr:0.0000, Loss:0.5526, Time_for_epoch: 16.8788
Gen 13 Tree 1: Epoch [44/100], lr:0.0000, Loss:0.5493, Time_for_epoch: 16.8774
Gen 13 Tree 1: Epoch [45/100], lr:0.0000, Loss:0.5497, Time_for_epoch: 16.8585
Gen 13 Tree 1: Epoch [46/100], lr:0.0000, Loss:0.5488, Time_for_epoch: 16.8593
Gen 13 Tree 1: Epoch [47/100], lr:0.0000, Loss:0.5497, Time_for_epoch: 16.8785
Gen 13 Tree 1: Epoch [48/100], lr:0.0000, Loss:0.5471, Time_for_epoch: 16.8772
Gen 13 Tree 1: Epoch [49/100], lr:0.0000, Loss:0.5497, Time_for_epoch: 16.8668
